"Content (FlexCms)","Content (FlexCms)"
"URL (FlexCms)","URL (FlexCms)"
"Default Editing Mode","Default Editing Mode"
"FlexCms Settings","FlexCms Settings"
"General","General"

"Content Updates","Content Updates"
"Add new Content Update","Add new Content Update"
"Layout Handle","Layout Handle"
"Content Type","Content Type"
"Content","Content"
"All Pages","All Pages"
"All Pages (only logged out users)","All Pages (only logged out users)"
"All Pages (only logged in users)","All Pages (only logged in users)"
"Default HTML","Default HTML"
"Standard Magento WYSIWYG Editor","Standard Magento WYSIWYG Editor"
"Left Column","Left Column"
"Content Column","Content Column"
"Right Column","Right Column"
"Content Element","Content Element"
"Sort Order","Sort Order"
"FlexCms Content","FlexCms Content"
"CMS","CMS"
"Content was saved successfully","Content was saved successfully"
"Content was deleted successfully","Content was deleted successfully"
"Simple","Simple"
"Advanced","Advanced"
"Product","Product"
"Category","Category"
"CMS Page","CMS Page"
"Other","Other"
